Row,Position,Genotype,Management,Checks,Year,Country,Envir,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample
2,40,25,1,"",2022,ITA,ITA_2022,210,7.7616,12,646.8,0,0,34.5,12.19,100,102,,,,,,5,3.234
2,72,2794,1,"",2022,ITA,ITA_2022,286,4.6752,8,584.4,3,0,29.86,5.67,62.5,98,,,,,,5,2.922
2,73,301,1,"",2022,ITA,ITA_2022,220,5.7992,44,131.8,1,75,24.07,1.65,62.5,128,,,,,,20,2.636
3,129,12_K001,1,"",2022,ITA,ITA_2022,231,0.7312,4,182.8,3,10,31.91,4.03,12.5,104,,,,,,20,3.656
4,92,12_I059,1,"",2022,ITA,ITA_2022,224,8.088,10,808.8,3,40,35.71,0.11,12.5,100,,,,,,5,4.044
6,110,12_J013,1,"",2022,ITA,ITA_2022,245,3.056,5,611.2,3,80,42.57,1.84,12.5,103,,,,,,5,3.056
7,34,94,1,"",2022,ITA,ITA_2022,220,9.056,16,566,1,50,25.09,2.93,75,101,,,,,,6,3.396
8,14,489,1,"",2022,ITA,ITA_2022,202,6,8,750,,,50.02,8.27,12.5,104,,,,,,3,2.25
9,53,1901,1,"",2022,ITA,ITA_2022,210,6.288,8,786,,,39.58,4.82,25,103,,,,,,2,1.572
9,73,301,1,"",2022,ITA,ITA_2022,,,,,,,27.86,3.26,37.5,132,,,,,,,
10,26,I_J033,2,"",2022,ITA,ITA_2022,207,21.49285714,51,421.4285714,4,57.14285714,45.67,1.05,25,105,,,,,,7,2.95
11,3,1218,2,"",2022,ITA,ITA_2022,237,15.5999,257,60.7,0,5,33.79,2.24,100,99,,,,,,20,1.214
12,19,JoPr_1990_102_242,2,"",2022,ITA,ITA_2022,228,1.28,8,160,3,55,33.38,4.96,100,94,,,,,,20,3.2
13,35,DLO_12_120,2,"",2022,ITA,ITA_2022,238,5.6717,43,131.9,3,55,55.48,23.81,100,101,,,,,,20,2.638
14,6,301,2,"",2022,ITA,ITA_2022,222,2.661454545,26,102.3636364,0,18.18181818,32.71,9.54,25,132,,,,,,11,1.126
14,15,1218,2,"",2022,ITA,ITA_2022,231,12.7612,244,52.3,0,5,45.92,8.42,100,102,,,,,,20,1.046
17,16,I_BB031,2,"",2022,ITA,ITA_2022,241,16.2606,246,66.1,1,10,44.42,10.91,100,100,,,,,,20,1.322
18,7,301,2,"",2022,ITA,ITA_2022,222,1.7825,23,77.5,0,37.5,29.92,1.93,25,130,,,,,,8,0.62
18,42,301,2,"",2022,ITA,ITA_2022,,,,,,,39.95,10.77,87.5,130,,,,,,,
